section_id	lane	topbot	start	end
B02A	1	2	01	10
B03A	1	2	09	18
B04A	1	2	17	26
B05A	1	2	26	35
B06A	1	2	35	44
B07A	1	2	44	53
B08A	1	2	53	62
B09A	1	2	61	70
B10A	1	2	69	78
T02A	1	1	01	10
T03A	1	1	09	18
T04A	1	1	17	26
T05A	1	1	26	35
T06A	1	1	35	44
T07A	1	1	44	53
T08A	1	1	53	62
T09A	1	1	61	70
T10A	1	1	69	78
B02B	2	2	01	10
B03B	2	2	09	18
B04B	2	2	17	26
B05B	2	2	26	35
B06B	2	2	35	44
B07B	2	2	44	53
B08B	2	2	53	62
B09B	2	2	61	70
B10B	2	2	69	78
T02B	2	1	01	10
T03B	2	1	09	18
T04B	2	1	17	26
T05B	2	1	26	35
T06B	2	1	35	44
T07B	2	1	44	53
T08B	2	1	53	62
T09B	2	1	61	70
T10B	2	1	69	78
B02C	3	2	01	10
B03C	3	2	09	18
B04C	3	2	17	26
B05C	3	2	26	35
B06C	3	2	35	44
B07C	3	2	44	53
B08C	3	2	53	62
B09C	3	2	61	70
B10C	3	2	69	78
T02C	3	1	01	10
T03C	3	1	09	18
T04C	3	1	17	26
T05C	3	1	26	35
T06C	3	1	35	44
T07C	3	1	44	53
T08C	3	1	53	62
T09C	3	1	61	70
T10C	3	1	69	78
B02D	4	2	01	10
B03D	4	2	09	18
B04D	4	2	17	26
B05D	4	2	26	35
B06D	4	2	35	44
B07D	4	2	44	53
B08D	4	2	53	62
B09D	4	2	61	70
B10D	4	2	69	78
T02D	4	1	01	10
T03D	4	1	09	18
T04D	4	1	17	26
T05D	4	1	26	35
T06D	4	1	35	44
T07D	4	1	44	53
T08D	4	1	53	62
T09D	4	1	61	70
T10D	4	1	69	78
